Vehicle Type,State,Postcode,Fuel Type,2021-01-31,2022-01-31,2023-01-31
Passenger,NSW,2045,Diesel,387.0,387.0,398.0
Passenger,NSW,2045,Dual fuel,3.0,0.0,3.0
Passenger,NSW,2045,Hybrid electric,53.0,66.0,85.0
Passenger,NSW,2045,Electric,8.0,22.0,31.0
Passenger,NSW,2045,Other,4.0,0.0,0.0
Passenger,NSW,2046,Petrol,14338.0,13926.0,13964.0
Passenger,NSW,2046,Diesel,1786.0,1718.0,1743.0
Passenger,NSW,2046,Dual fuel,10.0,10.0,6.0
Passenger,NSW,2046,Hybrid electric,259.0,349.0,437.0
Passenger,NSW,2046,Electric,23.0,51.0,106.0
Passenger,NSW,2046,Other,12.0,9.0,8.0
Passenger,NSW,2047,Petrol,5859.0,5764.0,5737.0
Passenger,NSW,2047,Diesel,804.0,787.0,789.0
Passenger,NSW,2047,Dual fuel,4.0,4.0,3.0
Passenger,NSW,2047,Hybrid electric,139.0,171.0,212.0
Passenger,NSW,2047,Electric,20.0,36.0,80.0
Passenger,NSW,2047,Other,0.0,3.0,3.0
Passenger,NSW,2048,Petrol,3026.0,3039.0,2981.0
Passenger,NSW,2048,Diesel,258.0,255.0,282.0
Passenger,NSW,2048,Dual fuel,5.0,3.0,4.0
Passenger,NSW,2048,Hybrid electric,52.0,68.0,102.0
Passenger,NSW,2048,Electric,8.0,16.0,33.0
Passenger,NSW,2048,Other,3.0,0.0,0.0
Passenger,NSW,2049,Petrol,5041.0,4989.0,5142.0
Passenger,NSW,2049,Diesel,487.0,452.0,459.0
Passenger,NSW,2049,Dual fuel,3.0,5.0,6.0
Passenger,NSW,2049,Hybrid electric,132.0,199.0,250.0
Passenger,NSW,2049,Electric,0.0,18.0,48.0
Passenger,NSW,2049,Other,12.0,8.0,7.0
Passenger,NSW,2050,Petrol,3238.0,3278.0,3154.0
Passenger,NSW,2050,Diesel,301.0,299.0,309.0
Passenger,NSW,2050,Dual fuel,3.0,3.0,3.0
Passenger,NSW,2050,Hybrid electric,161.0,234.0,297.0
Passenger,NSW,2050,Electric,7.0,9.0,26.0
Passenger,NSW,2050,Other,3.0,0.0,3.0
Passenger,NSW,2052,Petrol,16.0,16.0,17.0
Passenger,NSW,2052,Diesel,3.0,4.0,3.0
Passenger,NSW,2055,Petrol,0.0,0.0,3.0
Passenger,NSW,2055,Diesel,3.0,3.0,3.0
Passenger,NSW,2057,Petrol,17.0,17.0,16.0
Passenger,NSW,2057,Diesel,9.0,8.0,7.0
Passenger,NSW,2057,Hybrid electric,3.0,0.0,0.0
Passenger,NSW,2059,Petrol,23.0,20.0,14.0
Passenger,NSW,2059,Diesel,7.0,5.0,0.0
Passenger,NSW,2060,Petrol,7571.0,7441.0,7321.0
Passenger,NSW,2060,Diesel,1143.0,1077.0,1035.0
Passenger,NSW,2060,Dual fuel,4.0,7.0,3.0
Passenger,NSW,2060,Hybrid electric,349.0,401.0,549.0
Passenger,NSW,2060,Electric,43.0,87.0,156.0
Passenger,NSW,2060,Other,10.0,9.0,10.0
Passenger,NSW,2061,Petrol,2600.0,2653.0,2632.0
Passenger,NSW,2061,Diesel,365.0,358.0,341.0
Passenger,NSW,2061,Hybrid electric,77.0,86.0,110.0
Passenger,NSW,2061,Electric,10.0,23.0,44.0
Passenger,NSW,2061,Other,3.0,0.0,3.0
Passenger,NSW,2062,Petrol,3374.0,3347.0,3312.0
Passenger,NSW,2062,Diesel,441.0,406.0,387.0
Passenger,NSW,2062,Hybrid electric,73.0,91.0,121.0
Passenger,NSW,2062,Electric,11.0,26.0,53.0
Passenger,NSW,2062,Other,3.0,3.0,3.0
Passenger,NSW,2063,Petrol,3158.0,3081.0,3052.0
Passenger,NSW,2063,Diesel,605.0,601.0,596.0
Passenger,NSW,2063,Dual fuel,0.0,3.0,3.0
Passenger,NSW,2063,Hybrid electric,94.0,114.0,134.0
Passenger,NSW,2063,Electric,31.0,48.0,72.0
Passenger,NSW,2064,Petrol,5417.0,5504.0,5460.0
Passenger,NSW,2064,Diesel,837.0,766.0,761.0
Passenger,NSW,2064,Dual fuel,3.0,3.0,3.0
Passenger,NSW,2064,Hybrid electric,135.0,187.0,279.0
Passenger,NSW,2064,Electric,19.0,35.0,65.0
Passenger,NSW,2064,Other,9.0,7.0,5.0
Passenger,NSW,2065,Petrol,17505.0,17032.0,16635.0
Passenger,NSW,2065,Diesel,2622.0,2496.0,2439.0
Passenger,NSW,2065,Dual fuel,13.0,9.0,10.0
Passenger,NSW,2065,Hybrid electric,642.0,931.0,1476.0
Passenger,NSW,2065,Electric,64.0,130.0,225.0
Passenger,NSW,2065,Other,12.0,11.0,9.0
Passenger,NSW,2066,Petrol,15885.0,15845.0,16029.0
Passenger,NSW,2066,Diesel,2084.0,2007.0,1988.0
Passenger,NSW,2066,Dual fuel,7.0,7.0,6.0
Passenger,NSW,2066,Hybrid electric,456.0,501.0,573.0
Passenger,NSW,2066,Electric,68.0,122.0,252.0
Passenger,NSW,2066,Other,12.0,11.0,10.0
Passenger,NSW,2067,Petrol,11166.0,11185.0,11308.0
Passenger,NSW,2067,Diesel,1839.0,1816.0,1922.0
Passenger,NSW,2067,Dual fuel,7.0,8.0,10.0
Passenger,NSW,2067,Hybrid electric,404.0,535.0,789.0
Passenger,NSW,2067,Electric,42.0,133.0,263.0
Passenger,NSW,2067,Other,8.0,8.0,6.0
Passenger,NSW,2068,Petrol,8151.0,8064.0,7898.0
Passenger,NSW,2068,Diesel,1274.0,1241.0,1223.0
Passenger,NSW,2068,Dual fuel,4.0,10.0,4.0
Passenger,NSW,2068,Hybrid electric,189.0,242.0,281.0
Passenger,NSW,2068,Electric,40.0,86.0,158.0
Passenger,NSW,2068,Other,8.0,5.0,4.0
Passenger,NSW,2069,Petrol,7181.0,7063.0,6745.0
Passenger,NSW,2069,Diesel,1209.0,1192.0,1190.0
Passenger,NSW,2069,Dual fuel,4.0,6.0,4.0
Passenger,NSW,2069,Hybrid electric,264.0,321.0,303.0
Passenger,NSW,2069,Electric,34.0,78.0,145.0
Passenger,NSW,2069,Other,7.0,6.0,5.0
Passenger,NSW,2070,Petrol,6831.0,6779.0,6778.0
Passenger,NSW,2070,Diesel,1166.0,1126.0,1093.0
Passenger,NSW,2070,Dual fuel,3.0,0.0,0.0
Passenger,NSW,2070,Hybrid electric,224.0,277.0,327.0
Passenger,NSW,2070,Electric,33.0,64.0,142.0
Passenger,NSW,2071,Petrol,6797.0,6623.0,6529.0
Passenger,NSW,2071,Diesel,1145.0,1113.0,1083.0
Passenger,NSW,2071,Dual fuel,8.0,7.0,5.0
Passenger,NSW,2071,Hybrid electric,229.0,252.0,323.0
Passenger,NSW,2071,Electric,47.0,78.0,143.0
Passenger,NSW,2071,Other,5.0,5.0,4.0
Passenger,NSW,2072,Petrol,4204.0,4169.0,4138.0
Passenger,NSW,2072,Diesel,642.0,645.0,658.0
Passenger,NSW,2072,Hybrid electric,148.0,187.0,230.0
Passenger,NSW,2072,Electric,14.0,27.0,63.0
Passenger,NSW,2072,Other,3.0,3.0,4.0
Passenger,NSW,2073,Petrol,9315.0,9266.0,9143.0
Passenger,NSW,2073,Diesel,1923.0,1898.0,1860.0
Passenger,NSW,2073,Dual fuel,6.0,7.0,3.0
Passenger,NSW,2073,Hybrid electric,770.0,857.0,953.0
Passenger,NSW,2073,Electric,56.0,86.0,188.0
Passenger,NSW,2073,Other,3.0,0.0,3.0
Passenger,NSW,2074,Petrol,11977.0,11794.0,11652.0
Passenger,NSW,2074,Diesel,1925.0,1907.0,1932.0
Passenger,NSW,2074,Dual fuel,9.0,9.0,9.0
Passenger,NSW,2074,Hybrid electric,311.0,374.0,439.0
Passenger,NSW,2074,Electric,48.0,98.0,191.0
Passenger,NSW,2074,Other,9.0,7.0,7.0
Passenger,NSW,2075,Petrol,11298.0,11060.0,10969.0
Passenger,NSW,2075,Diesel,1743.0,1729.0,1713.0
Passenger,NSW,2075,Dual fuel,5.0,7.0,6.0
Passenger,NSW,2075,Hybrid electric,291.0,324.0,414.0
Passenger,NSW,2075,Electric,45.0,96.0,197.0
Passenger,NSW,2075,Other,7.0,6.0,6.0
Passenger,NSW,2076,Petrol,12336.0,12146.0,12036.0
Passenger,NSW,2076,Diesel,1910.0,1905.0,1920.0
Passenger,NSW,2076,Dual fuel,14.0,13.0,10.0
Passenger,NSW,2076,Hybrid electric,330.0,376.0,459.0
Passenger,NSW,2076,Electric,43.0,76.0,161.0
Passenger,NSW,2076,Other,13.0,11.0,10.0
Passenger,NSW,2077,Petrol,18766.0,18686.0,18652.0
Passenger,NSW,2077,Diesel,1953.0,1974.0,2075.0
Passenger,NSW,2077,Dual fuel,25.0,20.0,19.0
Passenger,NSW,2077,Hybrid electric,387.0,514.0,655.0
Passenger,NSW,2077,Electric,28.0,57.0,115.0
Passenger,NSW,2077,Other,17.0,16.0,16.0
Passenger,NSW,2079,Petrol,4006.0,3928.0,3943.0
Passenger,NSW,2079,Diesel,501.0,497.0,525.0
Passenger,NSW,2079,Dual fuel,8.0,9.0,6.0
Passenger,NSW,2079,Hybrid electric,56.0,78.0,112.0
Passenger,NSW,2079,Electric,3.0,10.0,28.0
Passenger,NSW,2079,Other,5.0,3.0,3.0
Passenger,NSW,2080,Petrol,969.0,958.0,966.0
Passenger,NSW,2080,Diesel,191.0,198.0,203.0
Passenger,NSW,2080,Dual fuel,0.0,0.0,3.0
Passenger,NSW,2080,Hybrid electric,19.0,30.0,59.0
Passenger,NSW,2080,Electric,0.0,6.0,10.0
Passenger,NSW,2081,Petrol,2687.0,2663.0,2675.0
Passenger,NSW,2081,Diesel,466.0,454.0,468.0
Passenger,NSW,2081,Dual fuel,3.0,4.0,5.0
Passenger,NSW,2081,Hybrid electric,41.0,54.0,75.0
Passenger,NSW,2081,Electric,3.0,4.0,16.0
Passenger,NSW,2081,Other,4.0,0.0,3.0
Passenger,NSW,2082,Petrol,2718.0,2725.0,2721.0
Passenger,NSW,2082,Diesel,429.0,423.0,442.0
Passenger,NSW,2082,Dual fuel,10.0,9.0,7.0
Passenger,NSW,2082,Hybrid electric,33.0,44.0,53.0
Passenger,NSW,2082,Electric,0.0,6.0,18.0
Passenger,NSW,2082,Other,5.0,4.0,5.0
Passenger,NSW,2083,Petrol,816.0,806.0,772.0
Passenger,NSW,2083,Diesel,152.0,157.0,157.0
Passenger,NSW,2083,Dual fuel,3.0,3.0,3.0
Passenger,NSW,2083,Hybrid electric,11.0,14.0,17.0
Passenger,NSW,2083,Electric,3.0,4.0,6.0
Passenger,NSW,2083,Other,4.0,4.0,3.0
Passenger,NSW,2084,Petrol,2007.0,2008.0,1988.0
Passenger,NSW,2084,Diesel,511.0,520.0,521.0
Passenger,NSW,2084,Dual fuel,5.0,4.0,7.0
Passenger,NSW,2084,Hybrid electric,42.0,52.0,66.0
Passenger,NSW,2084,Electric,17.0,25.0,34.0
Passenger,NSW,2084,Other,4.0,3.0,3.0
Passenger,NSW,2085,Petrol,6642.0,6534.0,6405.0
Passenger,NSW,2085,Diesel,963.0,946.0,949.0
Passenger,NSW,2085,Dual fuel,4.0,4.0,7.0
Passenger,NSW,2085,Hybrid electric,171.0,220.0,253.0
Passenger,NSW,2085,Electric,17.0,30.0,58.0
Passenger,NSW,2085,Other,9.0,10.0,5.0
Passenger,NSW,2086,Petrol,7231.0,7153.0,7103.0
Passenger,NSW,2086,Diesel,1039.0,1057.0,1066.0
